Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tenga-crysta-masturbador-masculino-ball,TENGA CRYSTA MASTURBADOR MASCULINO BALL,"Con una novedosa técnica en los métodos de fabricación, las partes flotantes integradas en el suave elastómero de crysta crean una experiencia totalmente nueva. Adapta las sensaciones con solo ajustar la fuerza y los puntos de agarre. ¡Descubre una forma de placer que cambia continuamente!\n\nBall\n<ul>\n 	<li>Dinámicas bolas flotantes para disfrutar del placer en movimiento.</li>\n 	<li>Tamaño del producto57×57×90mm / (An.)×(L.)×(Al.)</li>\n 	<li>Peso del producto220gInformación adicional</li>\n 	<li>Reutilizable</li>\n 	<li>Lubricante incluido</li>\n</ul>",TENGA,,Masturbador masculino,"vendor-tenga, publico-el, tipo-masturbador, juguetes-eroticos, sin-vibracion",TRUE,Title,Default Title,,,,,D-226949,380,shopify,1,deny,manual,59.94,,TRUE,TRUE,D-226949,https://sexshoplorena.com/wp-content/uploads/dl/img/img_94723_ce5e2dbecd77d4d971f0d50e9f307591_1.jpg,1,TENGA CRYSTA MASTURBADOR MASCULINO BALL,FALSE,TENGA CRYSTA MASTURBADOR MASCULINO BALL,"Con una novedosa técnica en los métodos de fabricación, las partes flotantes integradas en el suave elastómero de ... Paquete discreto en 24 h",,,adult,D-226949,new,FALSE,https://sexshoplorena.com/wp-content/uploads/dl/img/img_94723_ce5e2dbecd77d4d971f0d50e9f307591_1.jpg,g,,,active
tenga-crysta-masturbador-masculino-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/dl/img/img_94720_5e2d73a18558602a83cc09a2c52e3aaf_1.jpg,2,TENGA CRYSTA MASTURBADOR MASCULINO BALL,,,,,,,,,,,,,,
tenga-crysta-masturbador-masculino-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/dl/img/img_94721_7a7d8ee24a7be3146acd478e21649c9f_1.jpg,3,TENGA CRYSTA MASTURBADOR MASCULINO BALL,,,,,,,,,,,,,,
tenga-crysta-masturbador-masculino-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/dl/img/img_94722_a3df9e5460a43fe55e707c6df59dd655_1.jpg,4,TENGA CRYSTA MASTURBADOR MASCULINO BALL,,,,,,,,,,,,,,
tenga-crysta-masturbador-masculino-ball,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/dl/img/img_94724_ba21421ec0c086ed701d83c0911b14dc_1.jpg,5,TENGA CRYSTA MASTURBADOR MASCULINO BALL,,,,,,,,,,,,,,
tenga-flex-mastubador-masculino-blanco,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,<p>El Flex blanco de Tenga se trata de un masturbador &uacute;nico dise&ntilde;ado para obtener un placer sin igual cuando tu quieras. Este juguete tiene un dise&ntilde;o texturado y en espiral para que puedas sujetarlo y apretarlo sin problemas&nbsp;</p><p>Este juguete incorpora&nbsp;un satisfactorio efecto succi&oacute;n&nbsp;interno que puede puedes controlar simplemente poniendo el dedo sobre el agujero para hacer la masturbaci&oacute;n mas satisfactoria y al gusto. Se recomienda el uso de lubricante base agua para un m&aacute;ximo placer.&nbsp;</p><p>El Flex es un masturbador flexible con una textura hecha para disfrutar del placer. Adem&aacute;s es muy f&aacute;cil de limpiar y mantener.&nbsp;</p><ul>	<li>Texturado interior y efecto succi&oacute;n din&aacute;mico.&nbsp;</li>	<li>Longitud total: 17 cm&nbsp;</li>	<li>&#8203;Color. Blanco</li></ul>,TENGA,,Masturbador masculino,"vendor-tenga, publico-el, tipo-masturbador, juguetes-eroticos, sin-vibracion",TRUE,Title,Default Title,,,,,D-216577,360,shopify,4,deny,manual,39.99,,TRUE,TRUE,D-216577,https://sexshoplorena.com/wp-content/uploads/2024/05/img_64190_0f9ea8ea04d26ece03955311ab431ce5_1.jpg,1,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,FALSE,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,El Flex blanco de Tenga se trata de un masturbador único diseñado para obtener un placer sin igual cuando ... Paquete discreto en 24 h,,,adult,D-216577,new,FALSE,https://sexshoplorena.com/wp-content/uploads/2024/05/img_64190_0f9ea8ea04d26ece03955311ab431ce5_1.jpg,g,,,active
tenga-flex-mastubador-masculino-blanco,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/2024/05/img_64188_af334b7cea122567623e86513ad1dc9a_1.jpg,2,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,,,,,,,,,,,,,,
tenga-flex-mastubador-masculino-blanco,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/2024/05/img_64187_ada9801d3b666eee374ebba9489fdfbc_1.jpg,3,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,,,,,,,,,,,,,,
tenga-flex-mastubador-masculino-blanco,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/2024/05/img_64189_ff84bab102177fc427fc0e32b386aaac_1.jpg,4,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,,,,,,,,,,,,,,
tenga-flex-mastubador-masculino-blanco,,,,,,,,,,,,,,,,,,,,,,,,,https://sexshoplorena.com/wp-content/uploads/2024/05/img_64556_ffbf83e772d2aabf9287627857ce74c2_1.jpg,5,TENGA - FLEX MASTUBADOR MASCULINO BLANCO,,,,,,,,,,,,,,
